id,target
1581_11,0
1581_12,0
1581_13,0
1581_14,0
1581_15,0
1581_16,0
1581_17,0
1581_18,0
1581_19,0
1581_20,0
1581_21,0
1581_22,0
1581_23,0
1581_24,0
1581_25,0
1582_01,0
1582_02,0
1582_03,0
1582_04,0
1582_06,0
1582_08,0
1582_09,0
1582_10,0
1582_11,0
1582_12,0
1582_13,0
1582_14,0
1582_15,0
1582_16,0
1582_17,0
1582_18,0
1582_19,0
1582_20,0
1582_21,0
1582_22,0
1582_24,0
1582_25,0
1583_03,0
1583_06,0
1583_08,0
1583_09,0
1583_10,0
1583_11,0
1583_12,0
1583_13,0
1583_14,0
1583_16,0
1583_17,0
1583_18,0
1583_19,0
1583_20,0
1583_21,0
1583_22,0
1583_23,0
1583_24,0
1583_25,0
1584_02,0
1584_03,0
1584_06,0
1584_07,0
1584_08,0
1584_09,0
1584_10,0
1584_11,0
1584_13,0
1584_14,0
1590_05,1
1593_01,1
1593_02,1
1593_03,1
1593_04,1
1593_10,1
1594_16,1
1612_01,1
1612_02,1
1612_03,1
1612_04,1
1612_05,1
1612_06,1
1612_07,1
1612_08,1
1627_01,1
1628_01,0
1628_02,0
1628_04,0
1628_05,0
1628_06,0
1628_09,0
1630_04,1
1637_02,0
1637_03,0
1638_01,0
1638_03,0
1638_04,0
1638_05,0
1638_08,0
1638_09,0
1638_10,0
1638_12,0
1638_14,0
1638_16,0
1638_17,0
1638_18,0
1638_19,0
1638_20,0
1639_01,0
1639_07,1
1641_07,0
1641_08,0
1641_09,0
1641_10,0
1641_11,0
1641_12,0
1641_13,0
1641_14,0
1641_15,0
1642_01,1
1642_02,1
1642_03,1
1642_04,1
1642_05,0
1642_06,1
1642_07,1
1642_08,1
1647_01,0
1647_02,0
1647_03,0
1647_04,0
1648_01,0
1648_02,0
1648_03,0
1648_04,0
1648_05,0
1664_01,0
1664_02,0
1664_03,0
1664_04,0
1665_01,0
1665_03,0
1665_04,0
1665_05,0
1665_06,0
1665_07,0
1665_08,0
1665_09,0
1666_01,0
1666_02,0
1666_03,0
1666_04,0
1666_05,0
1666_06,0
1666_07,0
1666_08,0
1666_09,0
1666_10,0
1666_11,0
1666_12,0
1666_13,0
1666_14,0
1666_15,0
1666_16,0
1666_17,0
1666_18,0
1666_19,0
1666_20,0
1666_21,0
1666_22,0
1666_23,0
1666_24,0
1666_25,0
1667_01,1
1667_02,1
1667_03,1
1667_04,1
1667_05,1
1667_06,1
1667_07,1
1667_08,1
1668_02,0
1668_03,0
1668_05,0
1668_06,0
1668_07,0
1668_08,0
1668_09,0
1668_10,0
1668_11,0
1668_12,0
1668_13,0
1668_14,0
1668_15,0
1668_17,0
1668_18,0
1668_19,0
1668_20,0
1668_21,0
1668_22,0
1668_23,0
1668_24,0
1668_25,0
1669_02,0
1669_03,0
1669_04,0
1669_05,0
1669_06,0
1669_07,0
1669_09,0
1669_10,0
1669_11,0
1669_12,0
1669_13,0
1669_14,0
1669_16,0
1669_17,0
1669_18,0
1669_19,0
1669_21,0
1669_22,0
1669_23,0
1669_24,0
1669_25,0
1670_01,0
1670_02,0
1670_03,0
1670_04,0
1670_05,0
1670_06,0
1670_07,0
1670_08,0
1670_09,0
1670_10,0
1670_11,0
1670_12,0
1670_14,0
1670_15,0
1670_16,0
1670_17,0
1670_18,0
1670_19,0
1670_20,0
1670_21,0
1670_22,0
1670_23,0
1670_24,0
1671_01,0
1671_02,0
1671_03,0
1671_04,0
1671_05,0
1671_06,0
1671_07,0
1671_08,0
1671_09,0
1671_10,0
1671_11,0
1671_12,0
1671_14,0
1671_16,0
1671_17,0
1671_18,0
1671_19,0
1671_20,0
1671_21,0
1671_23,0
1671_24,0
1672_01,0
1672_02,0
1672_03,0
1672_04,0
1672_05,0
1672_06,0
1672_07,0
1672_08,0
1672_09,0
1672_10,0
1672_11,0
1672_12,0
1672_13,0
1672_14,0
1672_15,0
1672_16,0
1672_17,0
1672_18,0
1672_19,0
1672_20,0
1672_21,0
1672_22,0
1672_23,0
1673_01,0
1673_02,0
1673_03,0
1673_04,0
1673_07,0
1673_09,0
1673_10,0
1673_11,0
1673_12,0
1673_13,0
1673_14,0
1673_15,0
1673_16,0
1673_17,0
1673_18,0
1673_19,0
1673_20,0
1673_21,0
1673_23,0
1673_25,0
1674_02,0
1674_03,0
1674_04,0
1674_05,0
1674_06,0
1674_07,0
1674_08,0
1674_09,0
1674_10,0
1674_11,0
1674_13,0
1674_14,0
1674_15,0
1674_16,0
1674_17,0
1674_18,0
1674_19,0
1674_20,0
1674_21,0
1674_22,0
1674_23,0
1674_24,0
1675_02,0
1675_03,0
1675_04,0
1675_05,0
1675_06,0
1675_07,0
1675_08,0
1675_09,0
1675_10,0
1675_11,0
1675_12,0
1675_13,0
1675_14,0
1675_15,0
1675_16,0
1675_17,0
1675_18,0
1675_19,0
1675_20,0
1675_21,0
1675_22,0
1675_29,0
1675_30,0
1676_02,0
1676_03,0
1676_04,0
1676_05,0
1676_06,0
1676_07,0
1676_08,0
1677_01,0
1677_02,0
1677_03,0
1677_04,0
1677_06,0
1677_08,0
1677_09,0
1677_10,0
1677_11,0
1677_12,0
1677_13,0
1677_15,0
1677_16,0
1677_17,0
1677_18,0
1677_19,0
1677_20,0
1677_21,0
1677_22,0
1677_23,0
1677_24,0
1678_01,0
1678_02,0
1678_03,0
1678_04,0
1678_05,0
1678_06,0
1678_07,0
1678_08,0
1678_09,0
1678_10,0
1678_11,0
1684_01,1
1684_02,1
1684_03,1
1684_04,1
1684_05,1
1684_06,1
1684_07,1
1684_08,1
1706_01,1
1706_02,1
1706_03,1
1706_04,1
1706_06,1
1706_07,1
1706_08,1
1711_02,0
1711_04,0
1711_05,0
1711_06,0
1711_07,0
1711_08,0
1711_09,0
1711_10,0
1711_11,0
1711_12,0
1711_13,0
1711_15,0
1711_17,0
1711_18,0
1711_19,0
1711_20,0
1711_21,0
1711_22,0
1711_24,0
1711_25,0
1714_02,0
1714_03,0
1714_05,0
1714_06,0
1714_07,0
1714_08,0
1714_09,0
1714_10,0
1714_11,0
1714_12,0
1714_13,0
1714_14,0
1714_15,0
1714_16,0
1714_17,0
1714_18,0
1714_20,0
1714_21,0
1714_22,0
1714_24,0
1714_25,0
1715_01,0
1715_02,0
1715_03,0
1715_05,0
1715_07,0
1715_08,0
1715_09,0
1715_10,0
1715_12,0
1715_14,0
1715_15,0
1715_16,0
1715_17,0
1715_18,0
1715_19,0
1715_20,0
1715_21,0
1715_22,0
1715_23,0
1715_24,0
1715_25,0
1716_01,0
1716_03,0
1716_04,0
1716_05,0
1716_06,0
1716_07,0
1716_12,0
1716_13,0
1716_14,0
1716_15,0
1716_16,0
1716_17,0
1716_18,0
1716_19,0
1716_20,0
1716_21,0
1716_22,0
1716_23,0
1716_24,0
1716_25,0
1717_01,0
1717_02,0
1717_04,0
1717_05,0
1717_06,0
1717_07,0
1717_09,0
1717_10,0
1717_11,0
1717_12,0
1717_13,0
1717_14,0
1717_15,0
1717_16,0
1717_18,0
1717_19,0
1717_20,0
1717_21,0
1717_25,0
1718_01,0
1718_02,0
1718_03,0
1718_04,0
1718_05,0
1718_06,0
1718_08,0
1718_09,0
1718_10,0
1718_11,0
1718_12,0
1718_14,0
1718_16,0
1718_19,0
1718_23,0
1718_24,0
1718_25,0
1719_01,0
1719_02,0
1719_04,0
1719_05,0
1719_06,0
1719_07,0
1719_09,0
1719_10,0
1719_11,0
1719_12,0
1719_13,0
1719_14,0
1719_15,0
1719_16,0
1719_18,0
1719_19,0
1719_20,0
1719_21,0
1719_22,0
1719_24,0
1719_25,0
1720_01,0
1720_02,0
1720_03,0
1720_04,0
1720_06,0
1720_07,0
1720_08,0
1720_09,0
1720_11,0
1720_12,0
1720_13,0
1720_14,0
1720_15,0
1720_17,0
1720_18,0
1720_19,0
1720_20,0
1720_21,0
1720_22,0
1720_23,0
1720_24,0
1720_25,0
1721_01,0
1721_02,0
1721_03,0
1721_04,0
1721_05,0
1721_06,0
1721_07,0
1721_08,0
1721_11,0
1722_01,0
1722_03,0
1722_04,0
1722_05,0
1722_06,0
1722_07,0
1722_08,0
1722_12,0
1722_13,0
1722_14,0
1722_15,0
1722_16,0
1722_17,0
1722_18,0
1722_19,0
1723_01,0
1723_02,0
1723_03,0
1723_04,0
1723_05,0
1723_06,0
1723_07,0
1723_09,0
1723_10,0
1723_11,0
1723_12,0
1723_13,0
1723_14,0
1723_15,0
1723_16,0
1723_18,0
1723_19,0
1723_20,0
1724_01,0
1724_02,0
1724_03,0
1724_05,0
1724_06,0
1724_07,0
1724_08,0
1724_10,0
1724_11,0
1724_12,0
1724_13,0
1724_14,0
1724_15,0
1724_16,0
1724_18,0
1726_01,1
1726_02,1
1726_03,1
1726_04,1
1726_06,1
1726_07,1
1726_08,1
1727_01,1
1727_02,1
1727_04,1
1727_06,1
1727_07,1
1727_08,1
1728_01,0
1728_02,0
1728_03,0
1728_04,0
1730_02,0
1730_03,0
1730_04,0
1730_05,0
1730_06,0
1730_07,0
1730_08,0
1730_09,0
1730_10,0
1730_11,0
1730_13,0
1730_14,0
1730_15,0
1730_16,0
1730_17,0
1730_18,0
1730_19,0
1730_20,0
1730_21,0
1730_22,0
1730_23,0
1730_24,0
1730_25,0
1731_01,0
1731_03,0
1731_04,0
1731_05,0
1731_06,0
1731_07,0
1731_08,0
1731_09,0
1731_10,0
1731_11,0
1731_12,0
1731_13,0
1731_14,0
1731_15,0
1731_16,0
1731_17,0
1731_18,0
1731_19,0
1731_20,0
1731_21,0
1731_22,0
1731_23,0
1731_24,0
1732_01,0
1732_02,0
1732_03,0
1732_04,0
1732_05,0
1732_06,0
1732_07,0
1732_08,0
1732_09,0
1732_10,0
1732_11,0
1732_12,0
1732_13,0
1732_14,0
1732_15,0
1732_16,0
1732_17,0
1732_18,0
1732_19,0
1732_20,0
1732_21,0
1732_22,0
1732_24,0
1732_25,0
1734_01,0
1743_01,1
1743_02,1
1743_04,1
1743_06,1
1743_07,1
1743_08,1
1747_01,1
1770_01,1
1770_02,1
1770_03,1
1770_04,1
1770_06,1
1770_07,1
1770_08,1
1793_01,1
1793_02,1
1793_03,1
1793_04,1
1793_06,1
1793_07,1
1793_08,1
1800_01,0
1807_01,0
1807_02,0
1807_03,0
1807_04,0
1808_04,0
1808_05,0
1813_01,1
1813_02,1
1813_03,1
1813_04,1
1813_06,1
1813_07,1
1813_08,1
1817_01,0
1817_02,0
1817_03,0
1817_04,0
1817_05,0
1817_07,0
1817_08,0
1817_09,0
1817_10,0
1817_11,0
1817_12,0
1817_13,0
1817_14,0
1817_15,0
1817_16,0
1819_17,0
1825_01,0
1825_02,0
1825_03,0
1825_04,0
1825_05,0
1825_06,0
1825_07,0
1825_08,0
1825_09,0
1825_10,0
1825_11,0
1825_12,0
1825_13,0
1825_14,0
1825_15,0
1825_16,0
1825_17,0
1825_18,0
1825_19,0
1825_20,0
1825_21,0
1825_22,0
1825_23,0
1825_24,0
1825_26,0
1826_01,0
1826_02,0
1826_03,0
1826_04,0
1826_05,0
1826_06,0
1826_07,0
1826_08,0
1826_09,0
1826_10,0
1826_11,0
1826_12,0
1826_13,0
1826_14,0
1826_15,0
1826_16,0
1826_17,0
1826_18,0
1826_19,0
1826_20,0
1826_21,0
1826_22,0
1826_24,0
1826_26,0
1827_01,0
1827_02,0
1827_03,0
1827_04,0
1831_01,1
1831_02,1
1831_03,1
1831_04,1
1831_06,1
1831_07,1
1831_08,1
1832_01,0
1832_02,0
1832_03,0
1832_04,0
1832_05,0
1832_06,0
1832_07,0
1832_08,0
1832_09,0
1832_10,0
1832_11,0
1832_12,0
1832_14,0
1832_15,0
1832_16,0
1832_18,0
1832_19,0
1832_22,0
1832_23,0
1832_24,0
1844_02,0
1844_03,0
1844_04,0
1844_08,0
1844_09,0
1844_10,0
1844_14,0
1844_15,0
1844_16,0
1844_17,0
1844_18,0
1844_20,0
1844_21,0
1844_22,0
1844_23,0
1844_25,0
1845_01,0
1845_02,0
1845_04,0
1845_12,0
1845_14,0
1845_15,0
1845_16,0
1845_17,0
1845_18,0
1852_02,0
1855_01,1
1855_02,1
1855_03,1
1855_04,1
1855_06,1
1855_07,1
1855_08,1
1856_02,0
1856_03,0
1856_04,0
1859_01,0
1859_02,0
1859_03,0
1859_04,0
1861_02,0
1861_03,0
1861_05,0
1861_06,0
1861_08,0
1861_09,0
1861_10,0
1861_11,0
1861_12,0
1861_13,0
1861_14,0
1861_15,0
1861_16,0
1861_17,0
1861_20,0
1861_21,0
1861_22,0
1863_01,0
1863_02,0
1863_05,0
1863_06,0
1863_12,0
1863_14,0
1863_18,0
1863_20,0
1863_22,0
1863_23,0
1863_24,0
1863_25,0
1883_01,1
1883_02,1
1883_03,1
1883_04,1
1883_06,1
1883_07,1
1883_08,1
1884_01,0
1885_02,0
1885_03,0
1885_04,0
1885_06,0
1885_08,0
1885_09,0
1885_11,0
1885_13,0
1885_14,0
1885_17,0
1885_18,0
1885_19,0
1885_22,0
1886_01,0
1886_02,0
1886_03,0
1886_04,0
1886_07,0
1886_11,0
1886_12,0
1886_13,0
1886_14,0
1886_16,0
1886_19,0
1886_20,0
1886_22,0
1886_23,0
1886_24,0
1886_25,0
