company,company_loc,ref,bean_origin,broad_bean_origin,bean_typ,review_dt,cocoa_pcnt,rating
AkessonsPralus,Switzerland,508,MonteAlegreDBadero,Brazil,Forastero,2010,0.75,2.75
AlainDucasse,France,1215,Trinite,Trinidad,Trinitario,2014,0.65,2.75
AlainDucasse,France,1215,Vietnam,Vietnam,Trinitario,2014,0.75,2.75
AlainDucasse,France,1215,Madagascar,Madagascar,Trinitario,2014,0.75,3
AlainDucasse,France,1061,Chuao,Venezuela,Trinitario,2013,0.75,2.5
AlainDucasse,France,1173,PiuraPerou,Peru,Unknown,2013,0.75,2.5
Alexandre,Netherlands,1944,WinakCoopNapo,Ecuador,ForasteroNacional,2017,0.7,3.5
Alexandre,Netherlands,1944,LaDaliaMatagalpa,Nicaragua,CriolloTrinitario,2017,0.7,3.5
Alexandre,Netherlands,1944,TienGiang,Vietnam,Trinitario,2017,0.7,3.5
Alexandre,Netherlands,1944,MakwaleVillageKyela,Tanzania,Forastero,2017,0.7,3.5
AltusakaCaoArtisan,USA,1728,Momotombo,Nicaragua,Unknown,2016,0.6,2.75
AltusakaCaoArtisan,USA,1728,Acopagro,Peru,Unknown,2016,0.6,3
AltusakaCaoArtisan,USA,1732,CIAABCoop,Bolivia,Unknown,2016,0.6,2.5
AltusakaCaoArtisan,USA,1732,VillaAndina,Peru,Unknown,2016,0.6,2.5
AltusakaCaoArtisan,USA,1732,GruppoSalinas,Ecuador,Unknown,2016,0.6,2.75
AltusakaCaoArtisan,USA,1125,SurdelLago,Venezuela,Unknown,2013,0.6,2.5
AltusakaCaoArtisan,USA,1125,Conacado,DominicanRepublic,Trinitario,2013,0.6,3
AltusakaCaoArtisan,USA,1129,Bolivia,Bolivia,Unknown,2013,0.8,3.25
AltusakaCaoArtisan,USA,1133,Bolivia,Bolivia,Unknown,2013,0.6,3
AltusakaCaoArtisan,USA,1133,Peru,Peru,Unknown,2013,0.6,3.25
Amano,USA,725,Morobe,PapuaNewGuinea,Unknown,2011,0.7,4
Amano,USA,470,DosRios,DominicanRepublic,Unknown,2010,0.7,3.75
Amano,USA,470,Guayas,Ecuador,Unknown,2010,0.7,4
Amano,USA,544,Chuao,Venezuela,Trinitario,2010,0.7,3
Amano,USA,363,Montanya,Venezuela,Unknown,2009,0.7,3
Amano,USA,304,BaliJembrana,Indonesia,Unknown,2008,0.7,2.75
Amano,USA,129,Madagascar,Madagascar,Trinitario,2007,0.7,3.5
Amano,USA,147,Cuyagua,Venezuela,Unknown,2007,0.7,3
Amano,USA,175,Ocumare,Venezuela,Criollo,2007,0.7,3.75
AmatllerSimonColl,Spain,322,Ghana,Ghana,Forastero,2009,0.7,3
AmatllerSimonColl,Spain,327,Ecuador,Ecuador,Unknown,2009,0.7,2.75
AmatllerSimonColl,Spain,464,Ecuador,Ecuador,Unknown,2009,0.85,2.75
AmatllerSimonColl,Spain,464,Ghana,Ghana,Forastero,2009,0.85,3
Amazona,Peru,1145,LamasdelChankaSanMartinOroVerdecoop,Peru,Unknown,2013,0.72,3.25
Amazona,Peru,1145,BellavistaGranPajetenSanMartin,Peru,Trinitario,2013,0.73,3.5
Ambrosia,Canada,1494,Belize,Belize,Trinitario,2015,0.64,3
Ambrosia,Canada,1494,Madagascar,Madagascar,Trinitario,2015,0.66,3.25
Ambrosia,Canada,1498,DominicanRepublic,DominicanRepublic,Unknown,2015,0.75,3.25
Ambrosia,Canada,1498,PapuaNewGuinea,PapuaNewGuinea,Unknown,2015,0.63,3.25
Ambrosia,Canada,1498,Venezuela,Venezuela,Unknown,2015,0.7,3.25
Ambrosia,Canada,1498,Peru,Peru,Unknown,2015,0.68,3.5
Amedei,Italy,979,PiuraBlancodeCriollo,Peru,Unknown,2012,0.7,3.75
Amedei,Italy,111,Porcelana,Venezuela,CriolloPorcelana,2007,0.7,4
Amedei,Italy,111,Nine,,Blend,2007,0.75,4
Amedei,Italy,111,Chuao,Venezuela,Trinitario,2007,0.7,5
Amedei,Italy,123,Ecuador,Ecuador,Trinitario,2007,0.7,3
Amedei,Italy,123,Jamaica,Jamaica,Trinitario,2007,0.7,3
Amedei,Italy,123,Grenada,Grenada,Trinitario,2007,0.7,3.5
Amedei,Italy,123,Venezuela,Venezuela,Trinitario85Criollo,2007,0.7,3.75
Amedei,Italy,123,Madagascar,Madagascar,Trinitario85Criollo,2007,0.7,4
Amedei,Italy,129,Trinidad,Trinidad,Trinitario,2007,0.7,3.5
Amedei,Italy,170,ToscanoBlack,,Blend,2007,0.63,3.5
Amedei,Italy,40,ToscanoBlack,,Blend,2006,0.7,5
Amedei,Italy,75,ToscanoBlack,,Blend,2006,0.66,4
AMMA,Brazil,1065,Catongo,Brazil,ForasteroCatongo,2013,0.75,3.25
AMMA,Brazil,572,MonteAlegre3diffplantations,Brazil,ForasteroParazinho,2010,0.85,2.75
AMMA,Brazil,572,MonteAlegre3diffplantations,Brazil,ForasteroParazinho,2010,0.5,3.75
AMMA,Brazil,572,MonteAlegre3diffplantations,Brazil,ForasteroParazinho,2010,0.75,3.75
AMMA,Brazil,572,MonteAlegre3diffplantations,Brazil,ForasteroParazinho,2010,0.6,4
Anahata,USA,1259,Elvesia,DominicanRepublic,Unknown,2014,0.75,3
Animas,USA,1852,AltoBeni,Bolivia,Unknown,2016,0.75,3.5
Ara,France,1375,Madagascar,Madagascar,Trinitario,2014,0.75,3
Ara,France,1379,Chiapas,Mexico,Unknown,2014,0.72,2.5
Ara,France,1379,Equateur,Ecuador,Unknown,2014,0.75,2.75
Ara,France,1379,Trincheras,Venezuela,Unknown,2014,0.75,3
Arete,USA,1724,SanJuan,Trinidad,Trinitario,2016,0.7,3.5
Arete,USA,1724,KokoaKamili,Tanzania,Unknown,2016,0.7,3.75
Arete,USA,1900,TienGiang,Vietnam,Trinitario,2016,0.73,3.5
Arete,USA,1904,HaciendaVictoria,Ecuador,Unknown,2016,0.7,3.25
Arete,USA,1904,CostaEsmeraldas,Ecuador,Unknown,2016,0.7,3.25
Arete,USA,1904,Lachua,Guatemala,Unknown,2016,0.7,3.5
Arete,USA,1904,Rugoso,Nicaragua,Unknown,2016,0.7,3.75
Arete,USA,1908,LaMasicaFHIA,Honduras,Unknown,2016,0.7,3.5
Arete,USA,1908,CotoBrusTerciopelo,CostaRica,Unknown,2016,0.7,4
Arete,USA,1924,Phantom,Peru,ForasteroNacional,2016,0.7,4
Arete,USA,1928,Elvesia,DominicanRepublic,Unknown,2016,0.7,3.75
Arete,USA,1928,Matasawalevu,Fiji,Unknown,2016,0.7,3.25
Arete,USA,1928,LamDong,Vietnam,Unknown,2016,0.73,3.25
Arete,USA,1534,FazendaCamboa,Brazil,Unknown,2015,0.7,3.5
Arete,USA,1534,Nacional,Peru,ForasteroNacional,2015,0.68,3.5
Arete,USA,1534,PuertoQuitoheirloom,Ecuador,ForasteroNacional,2015,0.7,3.75
Arete,USA,1598,OkoCaribe,DomincanRepublic,Unknown,2015,0.7,3.5
Arete,USA,1598,MayaMountain,Belize,Trinitario,2015,0.7,3.75
Arete,USA,1598,Chuno,Nicaragua,CriolloTrinitario,2015,0.7,4
Arete,USA,1602,FazendaCamboa,Brazil,Unknown,2015,0.75,2.75
Arete,USA,1602,Guatemala,Guatemala,Unknown,2015,0.7,3.25
Arete,USA,1602,CaminoVerde,Ecuador,Unknown,2015,0.75,3.5
ArtisanduChocolat,UK,1193,TrinidadHeritageLimiteded,Trinidad,Trinitario,2013,0.72,3.25
ArtisanduChocolat,UK,947,ColombiaCasaLuker,Colombia,Unknown,2012,0.72,3.75
ArtisanduChocolat,UK,729,Haiti,Haiti,Unknown,2011,0.72,4
ArtisanduChocolat,UK,745,Panama,Panama,Unknown,2011,0.72,2.75
ArtisanduChocolat,UK,486,Venezuela,Venezuela,Unknown,2010,1,1.75
ArtisanduChocolat,UK,531,Jamaica,Jamaica,Trinitario,2010,0.72,3.75
ArtisanduChocolat,UK,600,CostaRica,CostaRica,Unknown,2010,0.72,3.25
ArtisanduChocolat,UK,600,BaRiaVungTauProvince,Vietnam,Trinitario,2010,0.72,3.25
ArtisanduChocolat,UK,600,Bali,Indonesia,Unknown,2010,0.72,3.5
ArtisanduChocolat,UK,355,OcumareVenezuela,Venezuela,CriolloTrinitario,2009,0.75,2.5
ArtisanduChocolat,UK,355,Java,Indonesia,Trinitario,2009,0.72,2.75
ArtisanduChocolat,UK,363,BrazilRioDoce,Brazil,Unknown,2009,0.72,1.75
ArtisanduChocolat,UK,363,Madagascar,Madagascar,CriolloTrinitario,2009,0.8,3
ArtisanduChocolat,UK,363,Peru,Peru,Criollo,2009,0.75,3
ArtisanduChocolat,UK,363,DominicanRepublic,DominicanRepublic,Trinitario,2009,0.72,3.25
ArtisanduChocolat,UK,300,Congo,Congo,Forastero,2008,0.72,3.75
ArtisanduChocolatCasaLuker,UK,1181,OrinoquaRegionArauca,Colombia,Trinitario,2013,0.72,2.75
Askinosie,USA,1780,Mababa,Tanzania,Trinitario,2016,0.68,3.75
Askinosie,USA,647,TenendeUwate,Tanzania,Trinitario,2011,0.72,3.75
Askinosie,USA,661,Cortes,Honduras,Trinitario,2011,0.7,3.75
Askinosie,USA,331,Davao,Philippines,Trinitario,2009,0.77,3.75
Askinosie,USA,141,Xoconusco,Mexico,Trinitario,2007,0.75,2.5
Askinosie,USA,175,SanJosedelTambo,Ecuador,ForasteroArriba,2007,0.7,3
BahenCo,Australia,1474,Houseblend,,Unknown,2015,0.8,3.25
BahenCo,Australia,1474,PapuaNewGuinea,PapuaNewGuinea,Unknown,2015,0.7,3.5
BahenCo,Australia,995,Sambirano,Madagascar,Trinitario,2012,0.7,3
BahenCo,Australia,999,Bahia,Brazil,Unknown,2012,0.7,2.5
BahenCo,Australia,999,Houseblend,,Blend,2012,0.7,2.5
Bakau,Peru,1454,Bambamarca2015,Peru,Unknown,2015,0.7,2.75
Bakau,Peru,1454,Huallabamba2015,Peru,Unknown,2015,0.7,3.5
BarAuChocolat,USA,1554,Bahia,Brazil,Unknown,2015,0.7,3.5
BarAuChocolat,USA,1295,MaranonCanyon,Peru,ForasteroNacional,2014,0.7,4
BarAuChocolat,USA,983,DuarteProvince,DominicanRepublic,Unknown,2012,0.7,3.25
BarAuChocolat,USA,983,Chiapas,Mexico,Unknown,2012,0.7,3.5
BarAuChocolat,USA,983,Sambirano,Madagascar,Trinitario,2012,0.7,3.75
Baravellis,Wales,955,singleestate,CostaRica,Unknown,2012,0.8,2.75
Batch,USA,1840,DominicanRepublicBatch3,DomincanRepublic,Unknown,2016,0.65,3.5
Batch,USA,1868,Brazil,Brazil,Unknown,2016,0.7,3.75
Batch,USA,1880,Ecuador,Ecuador,Unknown,2016,0.65,3.25
BeauCacao,UK,1948,AsajayaENWBorneob1324500,Malaysia,Unknown,2017,0.73,3
BeauCacao,UK,1948,SerianENWBorneob1343800,Malaysia,Unknown,2017,0.72,3.25
Beehive,USA,1784,BrazilBatch20316,Brazil,Unknown,2016,0.8,2.75
Beehive,USA,1784,DominicanRepublicBatch31616,DomincanRepublic,Unknown,2016,0.7,2.75
Beehive,USA,1784,EcuadorBatch31516,Ecuador,Unknown,2016,0.7,2.75
Beehive,USA,1788,Ecuador,Ecuador,Unknown,2016,0.9,2.75
Belcolade,Belgium,586,CostaRica,CostaRica,Unknown,2010,0.64,2.75
Belcolade,Belgium,586,PapuaNewGuinea,PapuaNewGuinea,Unknown,2010,0.64,2.75
Belcolade,Belgium,586,Peru,Peru,Unknown,2010,0.64,2.75
Belcolade,Belgium,586,Ecuador,Ecuador,Unknown,2010,0.71,3.5
Bellflower,USA,1800,KakaoKamiliKilomberoValley,Tanzania,CriolloTrinitario,2016,0.7,3.5
Bellflower,USA,1804,AltoBeniPalosBlanco,Bolivia,Unknown,2016,0.7,3.25
Bellflower,USA,1864,OkoCaribeDuarteP,DomincanRepublic,Unknown,2016,0.7,3.5
Belyzium,Germany,1768,Belizesouthlowfermentation,Belize,Trinitario,2016,0.83,2.75
Belyzium,Germany,1768,Belizesouth,Belize,Trinitario,2016,0.78,3
Belyzium,Germany,1768,Belizesouth,Belize,Trinitario,2016,0.83,3.5
BenoitNihant,Belgium,1141,Baracoa,Cuba,Trinitario,2013,0.74,3.5
BenoitNihant,Belgium,1141,Chuao,Venezuela,Criollo,2013,0.74,3.5
BenoitNihant,Belgium,1141,CuyaguaVillage,Venezuela,Criollo,2013,0.74,3.5
BenoitNihant,Belgium,1141,RioPeripaH,Ecuador,Trinitario,2013,0.73,4
BenoitNihant,Belgium,757,BaliSukramaBrosFarmMelaya62hrC,Indonesia,Trinitario,2011,0.72,4
BenoitNihant,Belgium,773,SomiaPlantationSambirano70hrC,Madagascar,Trinitario,2011,0.72,3.75
Bernachon,France,797,Nature,,Unknown,2012,0.55,2.75
BeschleFelchlin,Switzerland,636,Madagascar,Madagascar,Trinitario,2011,0.64,3
BeschleFelchlin,Switzerland,636,Maracaibo,Venezuela,Criollo,2011,0.88,3
BeschleFelchlin,Switzerland,636,IndigenaAmazoniaGrandCruQuizas,Venezuela,Unknown,2011,0.72,3.5
BeschleFelchlin,Switzerland,636,Ecuador,Ecuador,Unknown,2011,0.72,4
BeschleFelchlin,Switzerland,508,CareneroSBarloventoGrandCru,Venezuela,Trinitario,2010,0.7,3.25
BeschleFelchlin,Switzerland,508,PorcelanaPremierCruQuizasNo1,Venezuela,CriolloPorcelana,2010,0.74,3.25
BeschleFelchlin,Switzerland,508,JavaGrandCru,Indonesia,Unknown,2010,0.64,3.5
BeschleFelchlin,Switzerland,508,OcumarePremierCruQuizasNo2,Venezuela,Unknown,2010,0.72,3.5
Bisou,USA,1482,NicaraguaAmericanstyle,Nicaragua,Unknown,2015,0.76,2.5
Bisou,USA,1486,SanAndresAmericanstyle,CostaRica,Unknown,2015,0.76,2.5
Bisou,USA,1486,SanAndressilk,CostaRica,Unknown,2015,0.78,2.5
Bisou,USA,1486,Belize,Belize,Trinitario,2015,0.86,3.25
BittersweetOrigins,USA,963,Ghana,Ghana,Forastero,2012,0.72,3.5
BittersweetOrigins,USA,478,BaliSingaraja,Indonesia,Unknown,2010,0.75,3.25
BittersweetOrigins,USA,502,2009HapaNibby,DominicanRepBali,Blend,2010,0.7,3.75
BittersweetOrigins,USA,558,BaliSingaraja,Indonesia,Unknown,2010,0.65,2.75
BittersweetOrigins,USA,565,Sambirano2009,Madagascar,Trinitario,2010,0.7,3
BittersweetOrigins,USA,565,Ocumareprototype,Venezuela,Criollo,2010,0.78,3
BittersweetOrigins,USA,414,PuertoPlata,DominicanRepublic,Unknown,2009,0.75,3
BittersweetOrigins,USA,414,PuertoPlata,DominicanRepublic,Unknown,2009,0.65,3.5
BittersweetOrigins,USA,423,Sambirano,Madagascar,Trinitario,2009,0.75,3.25
BittersweetOrigins,USA,431,Sambirano,Madagascar,Trinitario,2009,0.65,3.5
BittersweetOrigins,USA,233,Sambirano,Madagascar,Trinitario,2008,0.71,3
BittersweetOrigins,USA,233,BocasdelToro,Panama,Unknown,2008,0.75,3.5
BittersweetOrigins,USA,233,PuertoPlata,DominicanRepublic,Unknown,2008,0.68,3.75
BittersweetOrigins,USA,256,Ankasa,Ghana,Forastero,2008,0.7,3
BlackMountain,USA,256,LaRed,DominicanRepublic,Unknown,2008,0.7,2.75
BlackMountain,USA,256,CareneroSuperior,Venezuela,Trinitario,2008,0.7,2.75
BlackMountain,USA,256,Matiguas,Nicaragua,Unknown,2008,0.7,3
BlackRiverAMorin,UK,1331,BlueMountainRegion,Jamaica,Trinitario,2014,0.7,2.75
Blanxart,Spain,1046,CongoGrandCru,Congo,Forastero,2013,0.82,3.5
Blanxart,Spain,322,OrganicDark,,Unknown,2009,0.72,2.75
BlueBandana,USA,1740,AkessonsESambiranoV,Madagascar,Trinitario,2016,0.82,3.5
BlueBandana,USA,1752,Lachua,Guatemala,Unknown,2016,0.75,2.75
BlueBandana,USA,1752,KokoaKamili,Tanzania,Unknown,2016,0.75,3.5
BlueBandana,USA,1756,ZorzalReserva,DominicanRepublic,Unknown,2016,0.75,3
BlueBandana,USA,911,Guatemala,Guatemala,Unknown,2012,0.7,3.5
BlueBandana,USA,911,Madagascar,Madagascar,Trinitario,2012,0.7,3.75
Bonnat,France,1912,SelvaMaya,Mexico,Unknown,2016,0.75,3.5
Bonnat,France,1339,Kaori,Brazil,Unknown,2014,0.75,4
Bonnat,France,1418,LosColoradosSantoDomingoEquateur,DominicanRepublic,Unknown,2014,0.75,3.25
Bonnat,France,1418,Surfin,VenezAfricaBrasilPeruMex,Unknown,2014,0.65,3.75
Bonnat,France,1038,Maragnam,Brazil,Unknown,2013,0.75,3.5
Bonnat,France,1042,Gabon,Gabon,Unknown,2013,0.75,3.25
Bonnat,France,629,Cuba,Cuba,Trinitario,2011,0.75,3.5
Bonnat,France,629,CuscoCacaoCusco,Peru,Unknown,2011,0.75,3.5
Bonnat,France,629,PiuraBlanco,Peru,ForasteroNacional,2011,0.75,3.5
Bonnat,France,629,Libanio,Brazil,Unknown,2011,0.75,3.75
Bonnat,France,629,Haiti,Haiti,Unknown,2011,0.75,4
Bonnat,France,629,Madagascar100criollo,Madagascar,Criollo,2011,0.75,4
Bonnat,France,672,Juliana,Brazil,Unknown,2011,0.75,3.5
Bonnat,France,761,Jamaique,Jamaica,Trinitario,2011,0.75,3.25
Bonnat,France,331,IvoryCoast,IvoryCoast,Unknown,2009,0.75,3
Bonnat,France,336,PorcelanaApotequil,Peru,Criollo,2009,0.75,2.75
Bonnat,France,336,PorcelanaTabascoMarfildeBlanco,Mexico,Criollo,2009,0.75,3
Bonnat,France,395,XoconuscocacaoReal,Mexico,Criollo,2009,0.75,3
Bonnat,France,199,PorcelanaVenezuela,Venezuela,CriolloPorcelana,2008,0.75,4
Bonnat,France,123,Equateur,Ecuador,ForasteroArriba,2007,0.75,2.5
Bonnat,France,24,Trinite,Carribean,Trinitario,2006,0.75,3.75
Bonnat,France,32,OcumarePuertoCabello,Venezuela,Unknown,2006,0.75,4
Bonnat,France,48,MaracaiboElRosario,Venezuela,Criollo,2006,0.75,4
Bonnat,France,75,Madagascar,Madagascar,Trinitario,2006,0.75,4
Bonnat,France,81,OneHundred,,Unknown,2006,1,1.5
Bonnat,France,81,Ceylan,SriLanka,Unknown,2006,0.75,3
Bonnat,France,81,Chuao,Venezuela,Trinitario,2006,0.75,4
BougaCacaoTulicorp,Ecuador,316,ElOroHaciendadeOro,Ecuador,ForasteroArriba,2009,0.77,3.25
BougaCacaoTulicorp,Ecuador,341,ElOroHaciendadeOro,Ecuador,ForasteroArriba,2009,1,1.5
BowlerMan,USA,1267,MayaMountain,Belize,Trinitario,2014,0.7,2.75
BowlerMan,USA,1271,Conacado,DominicanRepublic,Unknown,2014,0.7,2.75
BrasstownakaItsChocolate,USA,1868,GuasareZuliaProv,Venezuela,Criollo,2016,0.7,3.5
BrasstownakaItsChocolate,USA,1868,OpayoWaslala,Nicaragua,Unknown,2016,0.7,3.75
BrasstownakaItsChocolate,USA,1462,Conacado,DominicanRepublic,Unknown,2015,0.68,3.75
BrasstownakaItsChocolate,USA,1255,MayaMountain,Belize,Trinitario,2014,0.7,3.75
BrasstownakaItsChocolate,USA,1355,Chuao,Venezuela,Trinitario,2014,0.7,4
BrasstownakaItsChocolate,USA,1125,Cooproagro,DominicanRepublic,Trinitario,2013,0.72,3
BrasstownakaItsChocolate,USA,1125,CaminoVerdeGuayas,Ecuador,Unknown,2013,0.7,3.25
BrasstownakaItsChocolate,USA,1129,Ghana,Ghana,Forastero,2013,0.75,3.5
BrasstownakaItsChocolate,USA,1129,ChuaoMantuanoblend,Venezuela,Trinitario,2013,0.85,3.5
Brazen,USA,1514,ElvesiaP,DominicanRepublic,Unknown,2015,0.6,3
Brazen,USA,1514,ElvesiaP,DominicanRepublic,Unknown,2015,0.8,3.25
Brazen,USA,1514,AltaVerapaz2014,Guatemala,Unknown,2015,0.7,3.5
Brazen,USA,1518,AmbolikapikyP,Madagascar,Unknown,2015,0.8,2.75
Brazen,USA,1518,MayaMountain,Belize,Trinitario,2015,0.8,3.25
Brazen,USA,1518,AmbolikapklyP,Madagascar,Unknown,2015,0.6,3.25
BreezeMill,USA,1149,Jamaica,Jamaica,Trinitario,2013,0.7,3
Bright,Australia,1231,SomiaPlantation,Madagascar,Trinitario,2014,0.72,3
Bright,Australia,1231,MarabelFarms,DominicanRepublic,Unknown,2014,0.7,3.5
Bright,Australia,1231,CaminoVerdeBalaoGuayas,Ecuador,Unknown,2014,0.72,3.5
Bright,Australia,1235,GranCouva,Trinidad,Trinitario,2014,0.68,2.75
Britarev,Russia,1638,Ecuador,Ecuador,Unknown,2015,0.7,3.25
BronxGrrlChocolate,USA,1181,DominicanRepublic,DominicanRepublic,Unknown,2013,0.68,2.75
BurntForkBend,USA,1299,Trinidad,Trinidad,Trinitario,2014,0.72,3.25
BurntForkBend,USA,1299,Mindo,Ecuador,Unknown,2014,0.72,3.5
BurntForkBend,USA,1303,Belize,Belize,Trinitario,2014,0.72,3.25
BurntForkBend,USA,1303,Blend,,Blend,2014,0.72,3.25
BurntForkBend,USA,1323,EcuadorBobBar,Ecuador,Unknown,2014,0.6,2.5
CacaoArabuco,PuertoRico,1606,PuertoRico,PuertoRico,Unknown,2015,0.7,2.5
CacaoAtlanta,USA,1215,Tumbes,Peru,Criollo,2014,0.75,2.5
CacaoAtlanta,USA,502,DominicanRepublicLoveBar,DominicanRepublic,Unknown,2010,0.75,2.5
CacaoAtlanta,USA,502,DominicanRepublicwnibs,DominicanRepublic,Unknown,2010,0.75,2.75
CacaoAtlanta,USA,600,Patanemo,Venezuela,Unknown,2010,0.75,2.25
CacaoBarry,France,1716,GrandAnse,Haiti,TrinitarioCriollo,2016,0.65,3.5
CacaoBarry,France,586,SantoDomingo,DominicanRepublic,Unknown,2010,0.7,3
CacaoBarry,France,300,Tanzania,Tanzania,Unknown,2008,0.75,2
CacaoBarry,France,141,Venezuela,Venezuela,Unknown,2007,0.72,2
CacaoBarry,France,147,Mexico,Mexico,Unknown,2007,0.66,3
CacaodeOrigen,Venezuela,1688,Chuao,Venezuela,Trinitario,2015,0.77,3.5
CacaodeOrigen,Venezuela,1692,RioCaribe,Venezuela,Trinitario,2015,0.75,3.25
CacaodeOrigen,Venezuela,1391,AguaFriaSucreregion,Venezuela,Unknown,2014,0.75,2.5
CacaodeOrigen,Venezuela,1391,MacuareMirandaChloeformula,Venezuela,Unknown,2014,0.74,3.25
CacaodeOrigen,Venezuela,1391,ChuaoAraguaregion,Venezuela,Trinitario,2014,0.75,3.5
CacaodeOrigen,Venezuela,1395,ChuaoAraguaregion,Venezuela,Trinitario,2014,0.7,3.75
CacaodeOrigin,Venezuela,1668,HaciendalaTrinidad,Venezuela,Unknown,2015,0.74,3.25
CacaoHunters,Colombia,1816,Macondo,Colombia,Unknown,2016,0.71,3.75
CacaoHunters,Colombia,1816,PerlaNegra,Colombia,Unknown,2016,0.74,3.75
CacaoHunters,Colombia,1662,Arhuacos,Colombia,Unknown,2015,0.72,3.75
CacaoHunters,Colombia,1430,SierraNevada,Colombia,Unknown,2014,0.64,3.5
CacaoHunters,Colombia,1430,Tumaco,Colombia,Unknown,2014,0.7,3.5
CacaoHunters,Colombia,1434,BoyacaAprocampaCoopPauna,Colombia,Unknown,2014,0.69,2.75
CacaoHunters,Colombia,1434,Arauca,Colombia,Unknown,2014,0.7,3.25
CacaoMarket,USA,1860,Jutiapalot050916D,Honduras,Trinitario,2016,0.7,3.5
CacaoPrieto,USA,991,CriolloDominicanRepublic,DominicanRepublic,Criollo,2012,0.72,3.75
CacaoPrieto,USA,641,DominicanRepublicmrustic,DominicanRepublic,Unknown,2011,0.72,3
CacaoPrieto,USA,641,DominicanRepublic,DominicanRepublic,Unknown,2011,0.66,3.75
CacaoPrieto,USA,647,DominicanRepublicrustic,DominicanRepublic,Unknown,2011,0.65,3.25
CacaoSampaka,Spain,1908,MahaliKasai,Congo,Criollo,2016,0.7,3.5
CacaoSampaka,Spain,508,Madagascar,Madagascar,Trinitario,2010,0.71,3.5
CacaoSampaka,Spain,523,Ecuador,Ecuador,Unknown,2010,0.71,3.75
CacaoSampaka,Spain,523,Papua,PapuaNewGuinea,Unknown,2010,0.71,4
CacaoSampaka,Spain,537,Grenada,Grenada,Trinitario,2010,0.71,3.25
CacaoSampaka,Spain,537,Venezuela,Venezuela,Unknown,2010,0.71,3.5
CacaoSampaka,Spain,537,Venezuela,Venezuela,Unknown,2010,0.77,3.5
CacaoSampaka,Spain,336,PorcelanaTabascoLaJoya,Mexico,Criollo,2009,0.7,4
CacaoSampaka,Spain,346,XoconuscoChiapas,Mexico,Criollo,2009,0.7,4
CacaoStore,Japan,1684,Madagascar,Madagascar,Trinitario,2015,0.7,3
CacaoStore,Japan,1684,Peru,Peru,Unknown,2015,0.7,3.25
CacaoStore,Japan,1684,Vietnam,Vietnam,Trinitario,2015,0.7,3.5
